Date,Burglary/Breaking and Entering,month,prediction
2012-05-31,22.193548387096776,5,
2012-06-30,19.933333333333334,6,
2012-07-31,19.129032258064516,7,
2012-08-31,20.322580645161292,8,
2012-09-30,18.133333333333333,9,
2012-10-31,21.129032258064516,10,
2012-11-30,21.233333333333334,11,
2012-12-31,17.612903225806452,12,
2013-01-31,20.387096774193548,1,
2013-02-28,14.428571428571429,2,
2013-03-31,14.548387096774194,3,
2013-04-30,17.4,4,
2013-05-31,18.35483870967742,5,
2013-06-30,18.666666666666668,6,
2013-07-31,18.806451612903224,7,
2013-08-31,18.0,8,
2013-09-30,16.1,9,
2013-10-31,18.580645161290324,10,
2013-11-30,17.7,11,
2013-12-31,15.35483870967742,12,
2014-01-31,14.96774193548387,1,
2014-02-28,11.785714285714286,2,
2014-03-31,14.064516129032258,3,
2014-04-30,14.1,4,
2014-05-31,13.451612903225806,5,
2014-06-30,14.466666666666667,6,
2014-07-31,15.161290322580646,7,
2014-08-31,17.548387096774192,8,
2014-09-30,17.866666666666667,9,
2014-10-31,18.096774193548388,10,
2014-11-30,16.8,11,
2014-12-31,16.70967741935484,12,
2015-01-31,15.129032258064516,1,
2015-02-28,10.107142857142858,2,
2015-03-31,10.483870967741936,3,
2015-04-30,12.266666666666667,4,
2015-05-31,13.033333333333333,5,
2015-06-30,13.6,6,
2015-07-31,13.033333333333333,7,
2015-08-31,14.9,8,
2015-09-30,13.866666666666667,9,
2015-10-31,14.233333333333333,10,
2015-11-30,15.466666666666667,11,
2015-12-31,13.3,12,
2016-01-31,11.333333333333334,1,
2016-02-29,8.793103448275861,2,
2016-03-31,11.64516129032258,3,
2016-04-30,11.7,4,
2016-05-31,12.451612903225806,5,
2016-06-30,13.8,6,
2016-07-31,15.774193548387096,7,
2016-08-31,14.35483870967742,8,
2016-09-30,16.1,9,
2016-10-31,14.161290322580646,10,
2016-11-30,15.266666666666667,11,14.852633913270935
2016-12-31,13.903225806451612,12,12.928117482705618
2017-01-31,13.838709677419354,1,12.702752665835131
2017-02-28,11.464285714285714,2,8.590140855819062
2017-03-31,11.193548387096774,3,10.046374276249482
2017-04-30,10.733333333333333,4,11.287448019657544
2017-05-31,12.483870967741936,5,11.8876210828478
2017-06-30,12.766666666666667,6,12.625110362576478
2017-07-31,13.225806451612904,7,12.86640926573384
2017-08-31,12.67741935483871,8,14.186024494335689
2017-09-30,14.8,9,13.399517553281527
2017-10-31,12.35483870967742,10,14.511488179912929
