Date,Burglary/Breaking and Entering,month,observed,residual,seasonal,trend,trend_plus_resid
2012-11-30,21.233333333333334,11,21.233333333333334,0.3466469900050635,2.1757032404096845,18.710983102918586,19.05763009292365
2012-12-31,17.612903225806452,12,17.612903225806452,-1.1707813254071242,0.28542546263190716,18.49825908858167,17.327477763174546
2013-01-31,20.387096774193548,1,20.387096774193548,1.8608494989656363,0.09420682463907559,18.432040450588836,20.29288994955447
2013-02-28,14.428571428571429,2,14.428571428571429,0.0910970623959022,-3.9843510306498695,18.321825396825396,18.4129224592213
2013-03-31,14.548387096774194,3,14.548387096774194,-1.097786253722536,-2.494155630558056,18.140328981054786,17.04254272733225
2013-04-30,17.4,4,17.4,0.6697876710086454,-1.2192116341422867,17.94942396313364,18.619211634142285
2013-05-31,18.35483870967742,5,18.35483870967742,1.2440795613218099,-0.5852597968568836,17.696018945212494,18.940098506534305
2013-06-30,18.666666666666668,6,18.666666666666668,1.0260389400553822,0.18591702512639016,17.454710701484895,18.480749641540278
2013-07-31,18.806451612903224,7,18.806451612903224,1.2108208994341143,0.46081248510249434,17.134818228366616,18.34563912780073
2013-08-31,18.0,8,18.0,-0.6128262599610963,1.8139335308264322,16.798892729134664,16.186066469173568
2013-09-30,16.1,9,16.1,-1.6294543034662263,1.0608419122731911,16.668612391193037,15.039158087726811
2013-10-31,18.580645161290324,10,18.580645161290324,-0.1364435507780537,2.2061376111979203,16.510951100870457,16.374507550092403
2013-11-30,17.7,11,17.7,-0.6448532660113235,2.1757032404096845,16.16915002560164,15.524296759590314
2013-12-31,15.35483870967742,12,15.35483870967742,-0.7204357032873087,0.28542546263190716,15.789848950332821,15.069413247045512
2014-01-31,14.96774193548387,1,14.96774193548387,-0.5894321190579183,0.09420682463907559,15.462967229902713,14.873535110844795
2014-02-28,11.785714285714286,2,11.785714285714286,0.4777970111926253,-3.9843510306498695,15.29226830517153,15.770065316364157
2014-03-31,14.064516129032258,3,14.064516129032258,1.2116095476087483,-2.494155630558056,15.347062211981566,16.558671759590315
2014-04-30,14.1,4,14.1,-0.08130039862781047,-1.2192116341422867,15.400512032770097,15.319211634142286
2014-05-31,13.451612903225806,5,13.451612903225806,-1.3059780423648257,-0.5852597968568836,15.342850742447515,14.03687270008269
2014-06-30,14.466666666666667,6,14.466666666666667,-1.081052713810465,0.18591702512639016,15.361802355350742,14.280749641540277
2014-07-31,15.161290322580646,7,15.161290322580646,-0.7244965608833422,0.46081248510249434,15.424974398361494,14.700477837478152
2014-08-31,17.548387096774192,8,17.548387096774192,0.37269921366921466,1.8139335308264322,15.361754352278545,15.73445356594776
2014-09-30,17.866666666666667,9,17.866666666666667,1.6632044266925048,1.0608419122731911,15.142620327700971,16.805824754393477
2014-10-31,18.096774193548388,10,18.096774193548388,0.97359869192548,2.2061376111979203,14.917037890424988,15.890636582350467
2014-11-30,16.8,11,16.8,-0.19892392653359625,2.1757032404096845,14.823220686123912,14.624296759590315
2014-12-31,16.70967741935484,12,16.70967741935484,1.6545706971223177,0.28542546263190716,14.769681259600615,16.424251956722934
2015-01-31,15.129032258064516,1,15.129032258064516,0.3899201594879086,0.09420682463907559,14.644905273937532,15.034825433425441
2015-02-28,10.107142857142858,2,10.107142857142858,-0.3543970492272406,-3.9843510306498695,14.445890937019968,14.091493887792726
2015-03-31,10.483870967741936,3,10.483870967741936,-1.1908482096877173,-2.494155630558056,14.16887480798771,12.978026598299993
2015-04-30,12.266666666666667,4,12.266666666666667,-0.35535313800312984,-1.2192116341422867,13.841231438812084,13.485878300808954
2015-05-31,13.033333333333333,5,13.033333333333333,-0.006106050557349141,-0.5852597968568836,13.624699180747566,13.618593130190217
2015-06-30,13.6,6,13.6,-0.012990757845282336,0.18591702512639016,13.427073732718892,13.41408297487361
2015-07-31,13.033333333333333,7,13.033333333333333,-0.5543288701511373,0.46081248510249434,13.126849718381976,12.57252084823084
2015-08-31,14.9,8,14.9,0.17212251469151596,1.8139335308264322,12.913943954482052,13.086066469173568
2015-09-30,13.866666666666667,9,13.866666666666667,-0.10175465482664325,1.0608419122731911,12.90757940922012,12.805824754393477
2015-10-31,14.233333333333333,10,14.233333333333333,-0.9051596727477906,2.2061376111979203,12.932355394883203,12.027195722135412
2015-11-30,15.466666666666667,11,15.466666666666667,0.4064574937393699,2.1757032404096845,12.884505932517612,13.290963426256983
2015-12-31,13.3,12,13.3,0.1459736227716285,0.28542546263190716,12.868600914596465,13.014574537368093
2016-01-31,11.333333333333334,1,11.333333333333334,-1.7520102481961133,0.09420682463907559,12.991136756890372,11.239126508694259
2016-02-29,8.793103448275861,2,8.793103448275861,-0.3051697331617733,-3.9843510306498695,13.082624212087504,12.77745447892573
2016-03-31,11.64516129032258,3,11.64516129032258,0.9863522070010187,-2.494155630558056,13.152964713879618,14.139316920880637
2016-04-30,11.7,4,11.7,-0.32380684317819153,-1.2192116341422867,13.243018477320478,12.919211634142286
